 29704|White Field Post,Varthur main Road|Siddapura|560066|Opp Siddapura Bus Stop|Opp Petrol Bunk|GKHPS Siddapura Inside|Cream Colour Building|500600504|10619|10620|
 29700|Sorahunse Village Post|Sorahunse Village|560087|Opp Sorahunse Village Bus Stop||No Compound,No Plar Ground|Cream Colour Building|325A|10599|10600|
 29697|Sorahunse Post,Varthue Hobli|Valepura|560087|Near Valepura Bus Stop||No Compound,No Plar Ground|Cream Colour Building|328G,328E,328F|10609|10610|
 33981|Thurehalli Colony, Uttarahalli, Bangalore South-1|||||No Compound Wall With No Painted Building||210|14366||
 33772|Chowdeshwari Nagar, Tattaguni Post|Chowdeshwari Nagar|560062|Back Side Chowdeshwari Temple|Srinivasa Provision Store|No Compound|No Play Ground|212|10030|10031|
 31486|Talaghatta Pura Post, Kanakapura Main Road|Vajar Halli|560062|Government School Back Side|Madduramma Temple, Holiday Village Road|White Colour Building|Small Play Ground|211212213|10014|10015|
 31485|Kanakapura Main Road, Tatt Guni Post|Saludoddi|560082|Auto Fleev (Ravi Shankar Ashram)||Cream Colour Building|No Compound & No Play Ground|211, 213|10053|10054|
 31480|Agara Grama Panchayath, Kanakapura Main Road|Lakshmi Pura|560062|Lakshmi Pura Bus Stop||Cream Colour Building 1st Floor|No Play Ground & No Compound|211, 213|10047|10048|
 31476|Agara Main Road, Kengeri Hobli, Tattaguni Post|Chikka Tattaguni|560062|Jai Hanuman Clinic|Tattaguni Bus Stop & Water Tank|Cream Colour Building|No Compound & No Play Ground|212|10032|10033|
 33849|Dodda Tumkur Post, Hesaraghatta Hobli|Kakkehalli|562103|Inside G.K.L.P.S||Compound with Playground||285|10201|10202|
 31474|Agara Main Road, Kengeri Hobli, Tattaguni Post|Chikka Tattaguni|560062|Jai Hanuman Clinic|Tattaguni Bus Stop & Water Tank|Cream Colour Building|No Compound & No Play Ground|212|10032|10033|
 31468|Tatt Guni Post, Kengeri Hobli|Vadera Halli|560062|Vadera Halli Bus Stop|Pink Building|White Colour & Small Play Ground||212, 213|10057|10058|
 31465|Kanakapura Road, Hosahalli|Ganigara Palya|560062|Near Dasavanna Temple|Swapna Clinic|Cream Colour Building|No Compound & No Play Ground|217, 221D|10018|10019|
 31401|Tattaguni Post, Kengeri Hobli|Agara|560062|Near Anjaneya Temple|Agara Last Bus Stop|Cream Colour Building|No Play Ground & No Compound|212|10038|10039|10040
 31386|Kanakapura Main Road, Agara Grama Panchayath, Kengeri Hobli|Lakshmi Navagrama|560062|Cream Colour Water Tank||White Colour Building|No Compound & No Play Ground|211, 213|10049|10050|
 31160|Harehalli, Uttarahalli|Harehalli||Near Government School||No Compound Wall with Small Playground|White Painted Wall|375|14348|14349|
 31155|Bhuvaneshwari Nagar, Uttarahalli Circle, Subramanyapura Post|Bhuvaneshwari Nagar|560061|Near Thurvekere Lake||Compound Wall Without Play Ground|White & Yellow Colour Building|210D|14367||
 30736|Talaghattapura Post, Kanakapura Main Road|Muni Ramaiah Colony|560062|Vajra Dhaba|Back Side Shani Mahatma Temple|Cream Colour Building|No Compound & No Play Ground|211, 212, 213|10028|10029|
 31121|Srinivasa Colony, Subramanyapura Post, Karehalli||560061|Near Montessori Apartment|Near Kamaguri Venkateshwar Temple|No Compound Wall|White Colour Building|45 D|14352|14353|
 31132|Yadalam Nagar, Subramanyapura Post, Uttarahalli|Yadalam Nagar|560061|Near GKHPS|Near Water Tank Road|No Compound Wall Without Play Ground||210E|14368||
 31137|Ramachandrapura, Subramanyapura Post|Uttarhalli|560061|Muthumariyamma Temple||White Colour Building|No Compound Wall with No Playground|45 D|14354|14355|
 30722|Gubbalala Dakhaley||560061|Maruthi Nagar Water Tank|Mantri Tantrics|Cream Colour Building|Small Play Ground|210C|10011|10012|
 30710|Subramanyapura Post|Gubbalala|560061|Backside GHPS|210C Last Bus Stop|Pink Building|Without Play Ground|210C|10009|10010|
 30716|Raghuna Halli, Kanakapura Main Road|Raghuna Halli|560062|Vidya Sagar School Back Side||White Building|Small Play Ground|211212213|10013||
 30721||Banjara Palya|560062|Banjara Palya Bus Stop|Kanakapura Main Road, Devi Karani Estate Right Side|Cream Colour Building|No Play Ground & No Compound|216A|10043|10044|
 30705|Uttarahalli, Subramanyapura Post||560061|Near Uttarahalli Bus Stand|Opposite Spoorthy Clinic|Compound with No Playground|Pink Colour Building|210 E, 210 D|14360|14361|
 30695|1st Cross, Talaghattapura Post, Kanakapura Main Road||560062|KEB||Cream Colour Building|Small Play Ground|211C, 212, 213|10023|10022|
 30700|Uttarahalli Masjid Road, Subramanyapura Post||560061|Near Arogya Kendra Uttarahalli||Compound With Playground|White Colour Building||14362|14363|
 30685|Kanakapura Main Road, Doddakallasandra|||Near Surya School|Near Sri Devi Appartment|No Paint|Compound With Play Ground||10005|10006|
 30689|Vasanthpura, Bangalore Sount, Uttarahalli Hobli, Subramanyapura Post|Vasanthpura|560061|Near Vasantha Vallaba Swamy Temple||Compound Wall With No Play Ground||210E, 210B|||
 30691|Kanakapura Main Road, Doddakallasandra|Doddakallasandra|560062|Next To GKPS Doddakallasandra|Near Ganesh Temple Road|Without Compound & Cream Colour Building|Without Play Ground||10003|10004|
 34015|Chikkanahalli Post, Tavarekere Hobli|Shanthinagar|562130|Opposite Shanthinagar Bus Stop||G.K.L.P.S Shanthinagar In Side|Light Pink Colour Building|242 W, 227 U, 227 Z, 227 A|10409|10410|
 34013|Janatha Colony, Bychaguppe, Tavarakere Hobli, Thavarekere Post, Bangalore|Guruvabhovi Palya|562130|Compound Inside GKLPS Bychaguppe|Infront Bychaguppe School Bus Stop|White Colour Building & Blue Colour Door & Sheet Building|White Colour Compound & Blue Colour Gate|242U|21360|21361|
 33807|Ramohalli Post, Thavarekere Hobli, Bangalore|Subbarayappanapalya|560060|Beside Samudaya Bhavan|Opposite Subbrayappanapalya Bus Stop|White Colour Building & Yellow Colour Door|Sheet Building|227 R, 227 C|20708|20709|
