20011|KOPPAL|GINGERA|||||||18102010456|18102010457|18102010458|18102010459|18102010460|18102010461|18102010462|18102010463|18102010464|18102010465|18102010466|18102010467|18102010468|18102010469|18102010470
33948|Kogilu Main Road, Yelahanka Post|Maruthi Nagar|560064|Infront Kurlappa Shopping Mall||White Colour Anganwadi Mall|White Colour Anganwadi Mall|290 E|20340|20341|
33939|Yelahanka Post|Yelahanka|560064|Inside Yelahanka Boys GKHPS|Near Yelahanka Old Town Bus Stop|Infront Play Ground|Infront Play Ground|401, 290E|20332|20333|
33926|Kote Beedi, Yelahanka Post|Yelahanka|560064|Near Pandu Ranga Temple|Near BBMP Office|||401|20324|20325|
33863|2447/A, LIG 3rd Stage,1st Cross|Yelahanka Upanagara|560065|Near Someshwara Temple||||401|20306|20307|
33861|2nd Main, Yelahanka 4th Phase|Yelahanaka Upanagara|560106|Inside Yelahanka 4th Phase GKHPS|Near Bus Stop 4th Phase|Infront Play Ground & Infront Flag||402B|20312|20313|
33854|1st Main Road, Yelahanka Main Road|Surabhi Layout|560064|Behind Surabhi Layout Bus Stop||Godown Style|Blue Colour Door|286 G, 286, 291 D|30776|30777|
33850|Agrahara Main Road, N-4, Jakkuru Post|Agrahara|560064|Opposite Agrahara Bus Stop|Opposite Ashwath Katte|Inside G.K.L.P.S Agrahara|White Colour Building|280 M, 290 J|30754|30755|
33542|Devanahalli Main Road, Yelahanka Post|Venkatala|560064|Near Venkatala Bus Stop|Infront Library Government|||298 M|20338|20339|
31541|Down Bazar Road, Yelahanka Post|Yelahanka|560064|Near Yelahanka Banglow GKMPS||Infront Arali Mara|Infront Arali Mara|401|20322|20323|
31494|Jakkuru Post, N-4|Sampigehalli|560064|Opposite Sampigehalli Bus Stop||Sampigehalli Milk Dairy Building|Pista Colour Building|286 E|30760|30761|
31502|14th Cross, 5th Main Road, Yelahanak Post|Agrahara Layout|560064|Near Agrahara Layout Bus Stop|Behind Govt. Hospital|White Colour Compound|Cream Colour Building|284, 290 E|30752|30753|
31245|15th Cross, Yalahanka Uppanagar|Ambedkarnagar|560064|Opp Sree Clinic|Near Lion Club School|Yellow Colour Anganwadi Building|Yellow Colour Anganwadi Building|401|20298|20299|
31306|Yelahanka|Kogilu|560064|Near Kogilu GKHPS|Near Veugopal Swamy Temple|||290 E|20344|20345|
30867|Jakkuru Post, North 4|Sriramapura|560064|Behind Sriramapura Bus Stop|Behind Devika Store|Pink Colour Sheet Building||291 B, 286 D, 286 F, 286 B|30768|30769
30869|Slum Board, G.K.V.K Post|Chikkabommasandra|560065|Inside Chikkabommasandra GKLPS|Near Maruthi Yuvakara Seva Sangha|||401|20302|20303|
30847|Jakkuru Main Road, N-4, Jakkuru Post|Jakkuru|560064|Behind Jakkuru Bus Stop|Behind G.K.H.P.S Jakkuru|No Painted Compound|Cream Colour Buidling|286 G, 286, 291 D|30770|30771|
30853|Bande Road, Yelahanka Post|Kogilu Layout|560064|Near Raithara Seva Sahakara Bank|Near Kogilu Layout GKHPS|White Colour Anganwadi Building|White Colour Anganwadi Building|290 E|20350|20351|
30860|Sunkalamma Beedi, A.K. Colony, Yelahanka Post|Yelahanka|560064|Near Railway Station Road|Near Samudaya Bhavan|Infront Arali Mara|Infront Arali Mara|401|20326|20327|
33784|White Field Post|Pattandur|560066|||GKPLS Pattandur Inside|Cream Colour Building||10649|10650|
31521|White Field Post|Nallura Halli|560066|||Cream Colour Building|||10645|10646|
33755|Immadi Halli Post|Vijaya Nagar|560066|Near Vinayaka Temple|Near Water Tank|No Painted Compound,Small Play Ground|Cream Colour Building|No Bus|10581|10582|
